title,year,category,embodiments,task,shared_component,embodiment_specific,interface,data_source,evaluation,real_robot,code,url,why_it_matters
Humanoid Policy ~ Human Policy,2025,human-to-humanoid,"human + humanoid",manipulation and transfer,"shared state-action representation","robot execution constraints",human-humanoid aligned action/state,"egocentric human demos + humanoid demos",few-shot transfer across humanoids,yes,no,https://arxiv.org/abs/2503.13441,"Directly relevant to human-to-humanoid cross-embodiment transfer."
Human-Humanoid Cross-Embodiment Behavior-Skill Transfer,2024,human-to-humanoid,"human + 5 humanoids",behavior-skill transfer,"decomposed behavior primitives","robot-specific retargeting",behavior-skill decomposition,"demonstrations",multi-humanoid transfer,mixed,no,https://arxiv.org/abs/2412.15166,"Early humanoid-specific cross-embodiment formulation."
HumanoidExo,2025,human-to-humanoid,"human via exoskeleton + humanoid",whole-body manipulation,"human-compatible data interface","robot policy execution",exo-aligned whole-body control,"wearable exoskeleton teleop",real-world whole-body tasks,yes,no,https://arxiv.org/abs/2510.03022,"Reduces the human-humanoid gap at data collection time."
HumanX,2026,human-to-humanoid,"human videos + Unitree G1",agile humanoid interaction,"human-derived skill prior","robot controller",video-to-humanoid interaction priors,"human videos",sim + zero-shot real robot,yes,no,https://arxiv.org/abs/2602.02473,"Shows human video as a scalable source for humanoid interaction skills."
ZeroWBC,2026,human-to-humanoid,"human egocentric + humanoid",visuomotor whole-body control,"shared visuomotor mapping","robot low-level realization",egocentric visual control,"robot-free human video",whole-body humanoid control,mixed,no,https://arxiv.org/abs/2603.09170,"Connects egocentric human perception directly to humanoid whole-body control."
UniSkill,2025,representation-transfer,"human videos + robot videos",cross-embodiment skill representations,"skill representation","robot policy conditioned on skills",embodiment-agnostic skill space,"large-scale unlabeled cross-embodiment video data",simulation and real-world transfer,mixed,no,https://arxiv.org/abs/2505.08787,"A key paper on scalable cross-embodiment skill abstraction."
One Policy to Run Them All: Towards an End-to-end Learning Approach to Multi-Embodiment Locomotion,2024,policy-transfer,"multiple legged embodiments",multi-embodiment locomotion,"URMA shared policy","embodiment-specific morphology mapping",morphology-agnostic encoder-decoder,"simulation",multi-embodiment locomotion transfer,no,no,https://openreview.net/forum?id=HVWusz2zv5,"The early URMA framing that directly targets one locomotion policy across embodiments."
H-Zero,2025,cross-humanoid-control,"multiple humanoids + new humanoids",locomotion pretraining,"shared locomotion prior","few-shot adaptation",policy latent conditioned on embodiment,"simulation",unseen embodiment few-shot transfer,no,no,https://arxiv.org/abs/2512.00971,"A core reference for cross-humanoid locomotion transfer."
XHugWBC,2026,cross-humanoid-control,"12 simulated + 7 real humanoids",cross-humanoid locomotion,"single whole-body policy","semantic alignment + execution differences",semantic state/action alignment,"simulation + real deployment",zero-shot and real transfer,yes,no,https://arxiv.org/abs/2602.05791,"Probably the closest paper to one-policy multi-humanoid locomotion."
HugWBC,2025,cross-humanoid-control,"single humanoid with unified controller",whole-body control,"unified controller architecture","robot implementation details",whole-body action abstraction,"simulation + robot data",whole-body tasks,mixed,no,https://arxiv.org/abs/2502.03206,"Strong baseline for unified whole-body control."
General Humanoid Whole-Body Control via Pretraining and Fast Adaptation,2026,cross-humanoid-control,"multiple humanoid motions/tasks",whole-body control,"pretrained prior","fast adaptation modules",whole-body policy,"simulation",adaptation on new tasks/bodies,mixed,no,https://arxiv.org/abs/2602.11929,"Supports a shared-prior plus adapter thesis direction."
Any2Any,2026,policy-transfer,"multiple humanoid platforms including Unitree G1 LimX Oli and LimX Luna",whole-body tracking,"pretrained WBT specialist","kinematic alignment + lightweight PEFT dynamics adaptation",aligned WBT input/output spaces,"small target-embodiment adaptation data",efficient cross-embodiment transfer,mixed,no,https://arxiv.org/abs/2605.23733,"Shows pretrained whole-body tracking specialists can transfer to new humanoids with only a small fraction of full training data and compute."
Behavior Foundation Model for Humanoid Robots,2025,cross-humanoid-control,"humanoid behavior dataset",behavior prior,"behavior foundation model","downstream task conditioning",behavior tokens / latent control,"motion and control data",prompted humanoid behaviors,mixed,no,https://arxiv.org/abs/2509.13780,"Important for promptable shared policy design."
One Policy to Run Them All: an End-to-end Learning Approach to Multi-Embodiment Locomotion,2024,policy-transfer,"quadrupeds + humanoids + hexapods",multi-embodiment locomotion,"URMA shared locomotion policy","embodiment-specific morphology instantiation",morphology-agnostic encoder-decoder,"simulation + real transfer",unseen embodiment transfer and real-world validation,yes,yes,https://arxiv.org/abs/2409.06366,"The main URMA paper and a core reference for shared locomotion policies across body plans."
Efficient Morphology-Aware Policy Transfer to New Embodiments,2025,policy-transfer,"multiple morphologies",policy adaptation,"morphology-aware pretrained policy","PEFT-style embodiment tuning",morphology-conditioned policy with adapters or prefix tuning,"simulation",zero-shot and parameter-efficient transfer,no,no,https://arxiv.org/abs/2508.03660,"Directly relevant if your system uses shared pretraining plus lightweight embodiment-specific adaptation."
LocoFormer,2025,policy-transfer,"procedurally generated legged and wheeled robots; evaluated on unseen robots",generalist locomotion adaptation,"single long-context Transformer-XL locomotion policy","online-formed embodiment-specific internal control state",context-based locomotion adaptation without explicit kinematics,"large-scale reinforcement learning on procedurally generated robots","unseen robot adaptation + real-world zero-shot transfer",yes,no,https://arxiv.org/abs/2509.23745,"A key in-context adaptation paper showing that long-context memory can support cross-embodiment locomotion transfer."
CEI,2026,interface,"multiple robot embodiments",representation learning,"cross-embodiment interface","robot-specific execution",3D world-centric interface,"robot datasets",cross-embodiment transfer,mixed,no,https://arxiv.org/abs/2601.09163,"One of the cleanest interface-centric papers for your topic."
Learning a Unified Latent Space for Cross-Embodiment Robot Control,2026,interface,"humans + single-arm dual-arm and legged humanoid robots",cross-embodiment humanoid control,"decoupled shared latent motion space","lightweight robot-specific embedding layer",latent control space learned with contrastive alignment,"human motion data",zero-shot deployment on multiple robots,no,no,https://arxiv.org/abs/2601.15419,"A clean latent-control formulation for aligning human motion with diverse humanoid platforms."
Latent Action Diffusion,2025,interface,"multiple manipulators and hands",cross-embodiment manipulation,"latent action space","embodiment-specific decoder",latent action diffusion,"robot data",transfer across embodiments,mixed,no,https://arxiv.org/abs/2506.14608,"Shows why aligning latent action can be easier than aligning raw actions."
One-Policy-Fits-All,2026,interface,"many robot embodiments",generalist control,"single generalist policy","geometry-aware decoding",geometry-aware latent action,"mixed robot data",cross-embodiment evaluation,mixed,no,https://arxiv.org/abs/2603.14522,"Directly relevant to one-policy design."
X-Sim,2025,interface,"human + multiple robots",manipulation transfer,"shared object-centric structure","robot control realization",object-centric simulation and actions,"human motion + simulation",cross-embodiment transfer,mixed,no,https://arxiv.org/abs/2505.07096,"Useful if object motion is a better shared variable than human joint motion."
LAP,2026,interface,"multiple embodiments",zero-shot transfer,"language-action pretraining","embodiment-specific execution",language-action tokens,"multimodal data",zero-shot cross-embodiment,no,no,https://arxiv.org/abs/2602.10556,"Opens a path to language-like action interfaces."
Contact-conditioned learning of locomotion policies,2024,interface,"biped robot with multiple gait and contact modes",multi-gait locomotion,"shared contact-conditioned policy","task-specific contact plan",contact sequence as policy condition,"simulation",single policy across multiple gaits and transitions,no,no,https://arxiv.org/abs/2408.00776,"A useful reference for contact-centric interfaces in shared locomotion policies."
Cross-Hand Latent Representation for Vision-Language-Action Models,2026,interface,"multiple dexterous hands",cross-embodiment VLA,"shared latent hand-action representation","hand-specific execution",cross-hand latent action for VLA,"multi-hand dexterous data",cross-embodiment dexterous manipulation,mixed,no,https://arxiv.org/abs/2603.10158,"Important if you want the repository to cover cross-embodiment VLA and dexterous manipulation."
EgoMimic,2024,manipulation-transfer,"human egocentric videos + robots",imitation learning,"visual demonstration prior","robot policy learning",egocentric imitation interface,"egocentric video",real-world imitation learning,yes,yes,https://arxiv.org/abs/2410.24221,"Useful for scaling robot learning from egocentric human demonstrations."
Object-Centric Dexterous Manipulation from Human Motion Data,2024,manipulation-transfer,"humans + robot hands",dexterous manipulation,"object-centric representation","robot control realization",object-centric manipulation representation,"human motion data",cross-embodiment manipulation,mixed,no,https://arxiv.org/abs/2411.04005,"Important for object-centric transfer in dexterous manipulation."
DexFormer: Cross-Embodied Dexterous Manipulation via History-Conditioned Transformer,2026,manipulation-transfer,"multiple dexterous hands",cross-embodied dexterous manipulation,"single history-conditioned transformer policy","implicit hand-specific dynamics realization",history-conditioned shared manipulation policy,"simulation",zero-shot transfer across heterogeneous hands,no,no,https://arxiv.org/abs/2602.08278,"A strong recent shared-policy paper for cross-embodied dexterous manipulation."
CEDex: Cross-Embodiment Dexterous Grasp Generation at Scale from Human-like Contact Representations,2025,manipulation-transfer,"multiple robotic hands and grippers",cross-embodiment grasp generation,"human-like contact representation","embodiment-specific kinematic alignment",contact-centric grasp representation,"human contact data + grasp generation",cross-embodiment grasp generation at scale,mixed,no,https://arxiv.org/abs/2509.24661,"A key dexterous-hand paper that links human-like contact representations to cross-embodiment grasping."
UniMorphGrasp,2026,manipulation-transfer,"diverse robotic hands with heterogeneous kinematic structures",dexterous grasp generation,"unified human-like canonical hand pose representation","hand morphology-conditioned grasp synthesis",morphology-aware diffusion with hand kinematic graphs,"dexterous grasp benchmarks + object geometry",zero-shot generalization to unseen hand structures,no,no,https://arxiv.org/abs/2602.00915,"A recent morphology-aware diffusion approach for cross-embodiment dexterous grasp generation."
RoboMIND,2024,dataset-benchmark,"4 embodiments including humanoid",multi-embodiment learning benchmark,benchmark,none,n/a,"robot trajectories",benchmark protocol,mixed,no,https://arxiv.org/abs/2412.13877,"Useful benchmark for evaluating multi-embodiment transfer."
Humanoid-X / UH-1,2024,dataset-benchmark,"human video to humanoid pose control",humanoid pose control,benchmark,none,n/a,"massive human videos",large-scale pretraining dataset,no,no,https://arxiv.org/abs/2412.14172,"Key dataset for human-prior humanoid learning."
PHUMA,2025,dataset-benchmark,"humanoid locomotion",locomotion dataset,benchmark,none,n/a,"physically grounded humanoid locomotion data",dataset + evaluation,no,no,https://arxiv.org/abs/2510.26236,"Important because it prioritizes physically plausible humanoid motion."
Humanoid Everyday,2025,dataset-benchmark,"humanoid manipulation",open-world manipulation dataset,benchmark,none,n/a,"real-world humanoid dataset",open-world humanoid evaluation,yes,no,https://arxiv.org/abs/2510.08807,"Useful benchmark for realistic humanoid manipulation."
AnyBody,2025,dataset-benchmark,"multiple embodied agents",embodied model benchmark,benchmark,none,n/a,"benchmark suite",cross-embodiment evaluation,no,no,https://arxiv.org/abs/2505.14986,"Helps design stronger evaluation protocols."
Towards Embodiment Scaling Laws in Robot Locomotion,2025,scaling,"many legged morphologies",locomotion scaling,"scaling analysis","morphology variation",n/a,"simulation",embodiment diversity vs scale,no,no,https://arxiv.org/abs/2505.05753,"Important for deciding whether to scale data or embodiment diversity."
Multi-Embodiment Locomotion at Scale with extreme Embodiment Randomization,2025,scaling,"50 legged robots and millions of morphological variations",large-scale locomotion scaling,"URMAv2 shared policy","embodiment-aware conditioning",improved embodiment-aware architecture with extreme randomization,"simulation + real transfer",zero-shot transfer to unseen real humanoid and quadruped robots,yes,no,https://arxiv.org/abs/2509.02815,"A major URMA-line scaling paper showing how embodiment diversity and randomization can be pushed much further."
McARL: Morphology-Control-Aware Reinforcement Learning for Generalizable Quadrupedal Locomotion,2025,scaling,"quadrupedal morphologies",morphology-aware locomotion,"morphology-conditioned policy","robot-specific morphology vector",morphology-control-aware conditioning,"simulation",zero-shot transfer across quadrupeds,no,no,https://arxiv.org/abs/2505.18418,"A useful morphology-conditioned transfer baseline outside humanoids."
Multi-Loco: Unifying Multi-Embodiment Legged Locomotion via Reinforcement Learning Augmented Diffusion,2025,scaling,"biped + wheeled biped + humanoid + quadruped",generalized legged locomotion,"shared diffusion prior + shared residual actor","robot-specific critics + embodiment-specific execution dynamics","zero-padded and normalized observation/action space with diffusion action priors","multi-robot cross-embodiment locomotion datasets","simulation + real-world multi-platform deployment on seen embodiments",yes,no,https://arxiv.org/abs/2506.11470,"Important evidence that a shared diffusion prior plus shared actor can unify locomotion across multiple legged embodiments, though it is not a strict unseen-embodiment transfer paper."
UniLegs,2025,scaling,"diverse legged embodiments",unified locomotion policy,"shared locomotion policy","embodiment conditioning",unified legged control,"simulation",cross-morphology transfer,no,no,https://arxiv.org/abs/2507.22653,"Helpful if you want to extend humanoid work toward broader bipeds."
GCNT: Graph-Based Transformer Policies for Morphology-Agnostic Reinforcement Learning,2025,scaling,"diverse robot morphologies",morphology-agnostic reinforcement learning,"graph-transformer policy","robot-specific module instantiation",graph-based transformer policy,"simulation",zero-shot generalization to unseen morphologies,no,no,https://arxiv.org/abs/2505.15211,"A strong graph-transformer baseline for morphology-agnostic policy learning."
Body Transformer: Leveraging Robot Embodiment for Policy Learning,2024,morphology-aware,"diverse robot embodiments",policy learning,"embodiment-aware transformer","robot-specific body graph",body graph with masked attention,"imitation + reinforcement learning",multi-robot policy learning,mixed,yes,https://arxiv.org/abs/2408.06316,"A useful architecture paper showing how robot embodiment can be injected directly into transformer policies."
Articulated-Body Dynamics Network Improves Policy Learning for Diverse Robotic Systems,2026,morphology-aware,"humanoid + quadruped + hopper",dynamics-aware policy learning,"dynamics-grounded graph architecture","robot-specific articulated dynamics",articulated-body-dynamics-informed policy network,"simulation + real transfer",generalization to dynamics shifts and sim-to-real,yes,no,https://arxiv.org/abs/2603.19078,"A promising recent paper on dynamics-grounded structural priors for cross-robot policy learning."
Cross-embodied Co-design for Dexterous Hands,2025,morphology-aware,"search over dexterous hand morphologies",co-design and control,"cross-embodied control for design evaluation","task-specific hand design",design-conditioned cross-embodied control,"simulation + real fabrication",co-design with real deployment,yes,no,https://arxiv.org/abs/2512.03743,"Extends cross-embodiment thinking from policy transfer to joint morphology-control co-design."
NerveNet,2018,scaling,"many morphologies",structured policy learning,"graph neural network policy","robot-specific graph instantiation",graph-structured policy,"simulation",transfer across body structures,no,no,https://arxiv.org/abs/1810.09759,"A classic historical precursor for morphology-aware graph policies."
